Country Name,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]","Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Renewable internal freshwater resources per capita (cubic meters) [ER.H2O.INTR.PC],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Government Effectiveness: Estimate [GE.EST],Income share held by highest 10% [SI.DST.10TH.10],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Population density (people per sq. km of land area) [EN.POP.DNST]
Afghanistan,63.565,0.297563651,97.7,14.8313194,76.818367,246.9905483,10.77558453,1248.361806,0.1,,-1.495626688,,23.8,0.01618,-2.655531168,57.90825169
Albania,79.282,1.749462457,100,,,,398.6566725,9424.737167,0.1,11.47,-0.033333246,23.6,23,5.10935,0.11116863,104.1675547
Algeria,76.474,3.994401828,99.5,6.25170851,33.39915466,263.2866764,490.5865873,263.3626761,0.1,,-0.54141891,,21,0.61271,-1.044342637,17.93031568
American Samoa,,,,,,,,,,,0.537684321,,,,1.172189116,236.605
Andorra,,6.287203804,100,7.40840626,12.59578514,1175.597489,2970.766627,4133.9743,,,1.901037693,,32,11.05154,1.602202296,162.4319149
Angola,62.448,0.753638205,45.63388062,2.65592647,37.88715363,95.44836691,70.74730034,4574.453999,1.7,16.5,-1.084010243,,,6.17199,-0.358524978,25.95138205
Antigua and Barbuda,78.691,5.525581597,100,4.37567186,24.26510048,436.109958,613.9207433,564.4994952,,,-0.007657083,,,8.51359,0.953555167,209.3568182
Argentina,77.284,3.742029812,100,9.47170544,26.80958176,782.9061286,1399.63999,6497.73852,0.4,9.84,-0.096506894,31,24.9,8.03999,-0.091444202,16.42082662
Armenia,75.439,2.196552367,100,11.3798008,84.79430389,1470.646267,210.6646862,2431.750385,,12.2,-0.197479233,25.2,25.8,4.98389,-0.413424373,99.07277836
Aruba,76.248,,100,,,,,,,,1.024024606,,,,1.349796057,591.3444444
Australia,82.9,15.59572675,100,10.22989082,14.69235134,1412.043937,3977.79913,19415.77691,0.1,5.16,1.564876318,,14,10.0908,0.911745727,3.294351419
Austria,81.89512195,7.263331201,100,10.47507858,17.90847397,1530.079417,4567.984825,6193.749493,,4.56,1.521145463,23.2,27.1,11.97275,0.916747928,107.6093068
Azerbaijan,73.102,3.54349533,100,4.0731144,68.31981659,410.3460009,188.4854888,809.5342081,0.1,5,-0.08649461,,24.2,1.96779,-0.68591243,121.2800711
"Bahamas, The",71.205,6.482893634,100,5.90402126,26.35405159,1022.523233,1126.045729,1730.287697,1.4,,0.481303781,,10.7,4.39408,0.816237688,40.41528472
